key,is_bi,lstm_layers,lstm_hidden_dim,out_layers,special_tokens,tag_mode,loss,accuracy,f1,explained_variance,alpha
bi_1_64_1_bow_last,True,1,64,1,bow,last,1.506315549214681,0.5923513174057007,0.48593935688195944,0.0918311736928229,28.80191101373974
bi_1_64_1_bow_terminal,True,1,64,1,bow,terminal,2.443236748377482,0.5150241255760193,0.370959250578054,-0.002913374068547192,37.343714700969706
bi_1_64_1_eow_all,True,1,64,1,eow,all,3.1623145739237466,0.4868888854980469,0.3116395094451614,-0.21183026373432923,32.607539389596816
bi_1_64_1_eow_first,True,1,64,1,eow,first,1.4699670473734539,0.5891993641853333,0.50420568358557,0.13343645643953683,25.069917281444635
bi_1_64_1_eow_last,True,1,64,1,eow,last,1.485598087310791,0.5543181300163269,0.45559113823267866,-0.06141694366219519,21.758281236883327
bi_1_64_1_eow_terminal,True,1,64,1,eow,terminal,2.3846959273020425,0.5200672149658203,0.3952882545797278,-0.08023958892523053,35.74304554262499
bi_1_64_1__all,True,1,64,1,,all,3.0314317544301352,0.4974699914455414,0.2798723566435028,-0.27648069219319993,28.96029028460584
bi_1_64_1__first,True,1,64,1,,first,1.6093448797861736,0.608741283416748,0.4996261630663501,0.12693194792747597,39.10018649948141
bi_1_64_1__last,True,1,64,1,,last,1.7871192693710327,0.5917209386825562,0.4198830752401634,0.13459028259968187,47.580213673260545
bi_1_64_1__terminal,True,1,64,1,,terminal,2.624827226003011,0.47661614418029785,0.32835981066389,-0.24533539126008083,37.004090151910276
bi_2_128_1_#ow_all,True,2,128,1,#ow,all,3.3334696292877197,0.40832197666168213,0.28964930365950564,-0.4129764946667478,35.2109562525091
bi_2_128_1_#ow_first,True,2,128,1,#ow,first,1.4255599975585938,0.5322546362876892,0.44534022965589076,-0.070943346240671,22.769765677710232
bi_2_128_1_#ow_last,True,2,128,1,#ow,last,1.34446914990743,0.5675562024116516,0.48428498002886483,0.005786725029286788,24.893790920789595
bi_2_128_1_#ow_terminal,True,2,128,1,#ow,terminal,2.3155009746551514,0.46900609135627747,0.3736709900323465,-0.1887884378521294,32.99205150325523
bi_2_128_1_bow_all,True,2,128,1,bow,all,3.1011997858683267,0.4429444372653961,0.2957189217845594,-0.3611833345917579,34.29730237206277
bi_2_128_1_bow_first,True,2,128,1,bow,first,1.4407546917597454,0.5337255597114563,0.45211780892052056,-0.05532993192943226,24.82224334908731
bi_2_128_1_bow_last,True,2,128,1,bow,last,1.4783774216969807,0.5351964235305786,0.4280673966786046,-0.007334143895762146,35.90951670673387
bi_2_128_1_bow_terminal,True,2,128,1,bow,terminal,2.3336092631022134,0.4603908360004425,0.33749330628641644,-0.20340477169467497,39.48433289167554
bi_2_128_1_eow_all,True,2,128,1,eow,all,3.0770795345306396,0.45438888669013977,0.2905388801567761,-0.37308020800889663,33.829355982466055
bi_2_128_1_eow_first,True,2,128,1,eow,first,1.4220497210820515,0.5347762107849121,0.45760323487690696,-0.01946095268408987,32.165025629499276
bi_2_128_1_eow_last,True,2,128,1,eow,last,1.493884762128194,0.5259507894515991,0.4493346750134752,-0.08575424033095591,25.92179253316551
bi_2_128_1_eow_terminal,True,2,128,1,eow,terminal,2.366971572240194,0.4603908360004425,0.36598816134826007,-0.2561874181651653,36.78093990184167
bi_2_128_1__all,True,2,128,1,,all,3.0476993719736734,0.43463486433029175,0.22091985708122755,-0.497357867694862,30.44623173866354
bi_2_128_1__first,True,2,128,1,,first,1.5566856861114502,0.538348376750946,0.4170619027993359,-0.09224092570508557,43.10298775685699
bi_2_128_1__last,True,2,128,1,,last,1.7325251897176106,0.48455557227134705,0.3644810850192846,-0.1645690591826141,53.22623602254466
bi_2_128_1__terminal,True,2,128,1,,terminal,2.5707293351491294,0.40212464332580566,0.28945828869415907,-0.42331678399872974,41.6279250442793
bi_2_16_1_#ow_all,True,2,16,1,#ow,all,3.3820315996805825,0.425414115190506,0.25113725112712687,-0.32694821508179706,35.15552741989683
bi_2_16_1_#ow_first,True,2,16,1,#ow,first,1.5626548528671265,0.552006721496582,0.4333447274736209,-0.03533131140512413,20.187327927364997
bi_2_16_1_#ow_last,True,2,16,1,#ow,last,1.5995348294576008,0.5204874873161316,0.4075937220475737,-0.12206697098867503,21.69986704977219
